"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2024,1345.59517657441,1305.26973350036,1385.92061964846,1283.92273341199,1407.26761973682
2025,1394.80397929675,1334.62186247218,1454.98609612132,1302.7633742514,1486.8445843421
2026,1442.72574954917,1361.68193531929,1523.76956377905,1318.7799315806,1566.67156751774
2027,1474.53600909571,1366.31104486591,1582.76097332552,1309.02020948104,1640.05180871039
2028,1509.54347293554,1373.67652388698,1645.4104219841,1301.75290563882,1717.33404023226
2029,1543.95145078043,1380.00081019452,1707.90209136635,1293.21058367057,1794.6923178903
2030,1573.3988005778,1379.92658456635,1766.87101658925,1277.50858001499,1869.2890211406
2031,1601.48674006567,1377.9194396371,1825.05404049423,1259.57005973715,1943.40342039419
2032,1628.24367966062,1374.28531010884,1882.2020492124,1239.84787002147,2016.63948929977
2033,1652.69961530371,1367.96996568517,1937.42926492226,1217.24319389478,2088.15603671264
2034,1675.53045262141,1359.83660823364,1991.22429700919,1192.71838186553,2158.3425233773
2035,1696.95647213607,1350.23941402856,2043.67353024357,1166.69849033757,2227.21445393456
