"ds","Residuals"
1971,0.0974070673638859
1972,1.90316015493933
1973,-0.740088858942397
1974,2.11297054883329
1975,8.91771948214654
1976,7.2856983212161
1977,-2.57421900311732
1978,2.89011473437203
1979,-6.59988443906671
1980,1.79075396419992
1981,5.63613476998107
1982,2.84304945179617
1983,2.36681790353043
1984,10.9306141535769
1985,2.99303862897627
1986,5.61087634061248
1987,0.685338575705515
1988,9.20378434907678
1989,5.20277254186865
1990,2.2692889833387
1991,4.26280963827367
1992,-0.804515637602833
1993,2.49983569073919
1994,6.82769888523751
1995,4.22708684005966
1996,-13.2876080391736
1997,1.84754397171793
1998,-0.660222731589386
1999,-0.975639660330614
2000,-7.54335576073379
2001,-7.17510674219852
2002,12.5683935419342
2003,16.4905942923284
2004,14.897945612788
2005,3.36602358811604
2006,25.2823164775181
2007,14.1200925298272
2008,-1.85355249559234
2009,10.0877406768402
2010,15.8868760545922
2011,31.2607357968745
2012,-6.36192169662047
2013,160.304616616421
2014,-10.090910151383
2015,-12.2696879643134
2016,-28.3947503948225
2017,-10.9666028929869
2018,-19.4757375895749
2019,-11.5807131633944
2020,-7.69159787337685
2021,-72.9620184387213
2022,77.7459541656212
2023,62.7407564439452
