"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2024,1377.20274174481,1337.88526340248,1416.52022008713,1317.07184761169,1437.33363587792
2025,1423.40548348961,1362.33881006568,1484.47215691354,1330.01206586641,1516.79890111281
2026,1469.60822523442,1388.00196474625,1551.21448572258,1344.80221994361,1594.41423052522
2027,1515.81096697922,1413.60063580935,1618.0212981491,1359.49375483822,1672.12817912022
2028,1562.01370872403,1438.72134482703,1685.30607262102,1373.45430986423,1750.57310758382
2029,1608.21645046883,1463.19401911945,1753.23888181822,1386.42378130344,1830.00911963423
2030,1654.41919221364,1486.94320633311,1821.89517809416,1398.28677473914,1910.55160968814
2031,1700.62193395844,1509.93668019436,1891.30718772253,1408.99400433887,1992.24986357801
2032,1746.82467570325,1532.16391004028,1961.48544136622,1418.52936484354,2075.11998656296
2033,1793.02741744805,1553.62587394064,2032.42896095547,1426.89435208175,2159.16048281436
2034,1839.23015919286,1574.32982244241,2104.1304959433,1434.1000548082,2244.36026357752
2035,1885.43290093766,1594.28642457812,2176.57937729721,1440.16278990007,2330.70301197526
