"ds","Residuals"
1971,0.0435617981400992
1972,-0.124878789966134
1973,-1.70374403488916
1974,1.73898641996003
1975,7.94743619535701
1976,4.89153252958547
1977,-3.53273283305675
1978,4.66327449686093
1979,-6.06423048067356
1980,1.24662177156026
1981,5.20969192592503
1982,0.285428515098465
1983,1.59992911016089
1984,11.3213932965883
1985,1.72426559074993
1986,5.57535968680365
1987,2.28115816884686
1988,9.41219801257987
1989,4.76560406500307
1990,1.83187345827085
1991,5.29742669276193
1992,-1.06619454563856
1993,1.68592635368879
1994,5.90536929984924
1995,1.62902693375892
1996,-15.1017907442284
1997,2.35851060212412
1998,-3.37263965484546
1999,-6.92404442754268
2000,-10.2215413195102
2001,-9.83543169768108
2002,8.58299295688717
2003,9.98619768346621
2004,9.42697884352729
2005,3.09671275540017
2006,27.3544081801192
2007,13.7186505162989
2008,-1.79009413141226
2009,16.0859326028373
2010,17.3963697212356
2011,28.2519378295146
2012,-7.20810506109639
2013,164.33748137411
2014,-19.3303951813563
2015,-5.68823805596089
2016,7.38351738940495
2017,-12.0076559186759
2018,-29.7452205748282
2019,-19.1407430558504
2020,-20.5343195035715
2021,-90.6653237462362
2022,67.4174800275677
2023,36.7149435421889
