"ds","Forecast","Lower80","Upper80","Lower95","Upper95"
2024,1369.85549797991,1295.77015204964,1443.94084391018,1256.55173891983,1483.15925703998
2025,1425.20703341239,1309.92606262604,1540.48800419874,1248.90000299801,1601.51406382676
2026,1480.55856884486,1313.93717593887,1647.17996175086,1225.73313853854,1735.38399915119
2027,1535.91010427734,1309.52023419635,1762.29997435833,1189.67667617889,1882.14353237579
2028,1591.26163970982,1297.5033556696,1885.01992375003,1141.99711352243,2040.52616589721
2029,1646.61317514229,1278.33653720525,2014.88981307934,1083.38266135695,2209.84368892764
2030,1701.96471057477,1252.28078661721,2151.64863453234,1014.23249668688,2389.69692446266
2031,1757.31624600725,1219.48737951436,2295.14511250014,934.777975591171,2579.85451642332
2032,1812.66778143972,1180.03583084769,2445.29973203176,845.140705693226,2780.19485718622
2033,1868.0193168722,1133.954193564,2602.08444018041,745.363590272829,2990.67504347158
2034,1923.37085230468,1081.23086119117,2765.51084341818,635.428878762681,3211.31282584668
2035,1978.72238773716,1021.82187349268,2935.62290198163,515.269339782716,3442.1754356916
