"ds","Residuals"
1971,196.555527688841
1972,176.823155284533
1973,154.89677160008
1974,135.997243415627
1975,124.313914331174
1976,111.661876746722
1977,91.5712413622686
1978,79.0143919778157
1979,56.6062844933628
1980,40.3271587089099
1981,28.2734692244569
1982,12.295001040004
1983,-2.31178244444885
1984,-6.8804259289018
1985,-18.9012585133547
1986,-26.7423052978076
1987,-36.8240842822605
1988,-39.3423952667134
1989,-44.7315802511664
1990,-52.1558631356193
1991,-55.7689758200722
1992,-64.7473692045251
1993,-71.174519988978
1994,-73.0644325734309
1995,-78.1179184578839
1996,-99.5953865423368
1997,-106.45805452679
1998,-118.607493011243
1999,-134.943819795696
2000,-155.882271480148
2001,-178.360537264601
2002,-184.273533949054
2003,-187.166143733507
2004,-188.73640641796
2005,-194.860738302413
2006,-176.143900686866
2007,-165.908807071319
2008,-168.597643155772
2009,-153.747734540225
2010,-134.556539824678
2011,-101.232020709131
2012,-98.0444251935835
2013,75.3306349219636
2014,96.0016412375107
2015,126.672647553058
2016,169.343653868605
2017,194.014660184152
2018,198.685666499699
2019,208.356672815246
2020,213.027679130793
2021,143.69868544634
2022,215.369691761887
2023,269.040698077435
