"ds","Actual","Prophet_Fitted","ETS_Fitted","LM_Fitted","ARIMA_Auto_Fitted","ARIMA_312_Fitted"
1971,97.40715802,66.3639122033359,96.5859092107162,-99.1483696688407,97.3635962218599,97.3097509526361
1972,100.0037793,74.2774667847817,99.9627309875013,-76.8193759845331,100.128658089966,98.1006191450607
1973,100.4063893,84.3960233607978,102.769238953762,-54.4903823000803,102.110133334889,101.146478158942
1974,103.8358548,96.7803624381545,102.813262956258,-32.1613886156274,102.09686838004,101.722884251167
1975,114.4815194,106.930272670845,105.816876184032,-9.83239493117448,106.534083204643,105.563799917853
1976,124.1584755,114.843827225978,118.0681496257,12.4965987532785,119.266942970415,116.872777178784
1977,126.3968338,124.962383830319,130.8424236851,34.8255924377314,129.929566633057,128.971052803117
1978,136.1689781,137.34672293962,133.895981783016,57.1545861221843,131.505703603139,133.278863365628
1979,136.0898643,147.496633281094,142.921377567971,79.4835798066372,142.154094780674,142.689748739067
1980,142.1397322,155.410644558097,142.339287745541,101.81257349109,140.89311042844,140.3489782358
1981,152.4150364,165.529659080893,146.665370666186,124.141567175543,147.205344474075,146.778901630019
1982,158.7655619,177.918130093366,157.788548731684,146.470560859996,158.480133384902,155.922512448204
1983,166.4877721,188.080395487234,165.716143648018,168.799554544449,164.887842989839,164.12095419647
1984,184.2481223,196.006305203537,173.800851703127,191.128548228902,172.926729003412,173.317508146423
1985,194.5562834,208.607685452169,193.382834167902,213.457541913355,192.83201780925,191.563244771024
1986,209.0442303,223.468064534596,206.462645139019,235.786535597808,203.468870613196,203.433353959388
1987,221.291445,236.104567498598,221.644230445439,258.115529282261,219.010286831153,220.606106424294
1988,241.1021277,246.549416893592,234.476026311731,280.444522966713,231.68992968742,231.898343350923
1989,258.0419364,259.206203337433,255.233397496128,302.773516651166,253.276332334997,252.839163858131
1990,272.9466472,274.12556467727,274.25326556264,325.102510335619,271.114773741729,270.677358216661
1991,291.6625282,286.81049719505,289.649930487834,347.431504020072,286.365101507238,287.399718561726
1992,305.0131285,297.267170443258,308.356165838097,369.760497704525,306.079323045639,305.817644137603
1993,320.9149714,309.937430648211,321.683697871958,392.089491388978,319.229045046311,318.415135709261
1994,341.3540525,324.866501490344,336.637266891645,414.418485073431,335.448683200151,334.526353614763
1995,358.6295603,337.563242168355,357.622002856724,436.747478757884,357.000533366241,354.40247345994
1996,359.4810859,348.023627168802,376.223430623417,459.076472442337,374.582876644228,372.768693939174
1997,374.9474116,360.697776745592,374.711715722691,481.40546612679,372.588900997876,373.099867628282
1998,385.1269668,375.632300010901,386.066580669447,503.734459811243,388.499606454845,385.787189531589
1999,391.1196337,388.332394454161,396.15789394972,526.063453495696,398.043678127543,392.095273360331
2000,392.5101757,398.797997969854,401.131460418243,548.392447180148,402.73171701951,400.053531460734
2001,392.3609036,411.475595395053,399.928199636859,570.721440864601,402.196335297681,399.536010342198
2002,408.7769006,426.42922215948,396.461850153334,593.050434549054,400.193907643113,396.208507058066
2003,428.2132845,439.151215504812,412.924841017133,615.379428233507,418.227086816534,411.722690207672
2004,448.9720155,449.636853172577,437.798500868457,637.70842191796,439.545036656473,434.074069887212
2005,465.1766773,464.302300111639,464.089030727081,660.037415602413,462.0799645446,461.810653711884
2006,506.2225086,507.976007706299,483.231892876571,682.366409286866,478.868100419881,480.940192122482
2007,538.7865959,549.415286478947,528.135224749739,704.695402971319,525.067945383701,524.666503370173
2008,558.4267535,597.001333820595,568.0579872674,727.024396655772,560.216847631412,560.280305995592
2009,595.6056558,646.901074917814,588.834139160003,749.353390340225,579.519723197163,585.51791512316
2010,637.1258442,698.979413096906,624.683506417489,771.682384024678,619.729474478764,621.238968145408
2011,692.779357,748.825421348685,669.823275929264,794.011377709131,664.527419170485,661.518621203125
2012,718.2959462,796.435073922912,732.142247255734,816.340371393583,725.504051261096,724.65786789662
2013,914,846.358484928492,761.185742501656,838.669365078036,749.66251862589,753.695383383579
2014,957,898.438922006271,977.307956538857,860.998358762489,976.330395181356,967.090910151383
2015,1010,948.284930261966,1055.00134036775,883.327352446942,1015.68823805596,1022.26968796431
2016,1075,995.894582840109,1095.94654205059,905.656346131395,1067.6164826106,1103.39475039482
2017,1122,1045.8179938457,1146.52756900974,927.985339815848,1134.00765591868,1132.96660289299
2018,1149,1097.89843092346,1184.50977378755,950.314333500301,1178.74522057483,1168.47573758957
2019,1181,1147.74443917917,1199.89077854789,972.643327184754,1200.14074305585,1192.58071316339
2020,1208,1195.35409175731,1220.14435872849,994.972320869207,1228.53431950357,1215.69159787338
2021,1161,1245.27750276292,1240.56849653951,1017.30131455366,1251.66532374624,1233.96201843872
2022,1255,1297.35793984066,1178.14169009539,1039.63030823811,1187.58251997243,1177.25404583438
2023,1331,1347.20394809636,1264.42187337135,1061.95930192257,1294.28505645781,1268.25924355605
