"ds","Prophet_Forecast","Prophet_Lower95","Prophet_Upper95","ETS_Forecast","ETS_Lower95","ETS_Upper95","LM_Forecast","LM_Lower95","LM_Upper95","ARIMA_Auto_Forecast","ARIMA_Auto_Lower95","ARIMA_Auto_Upper95","ARIMA_312_Forecast","ARIMA_312_Lower95","ARIMA_312_Upper95"
2024,1394.8136006745,1353.00565933378,1436.39839307545,1369.85549797991,1256.55173891983,1483.15925703998,1084.288295607,798.501435679541,1370.07515553446,1377.20274174481,1317.07184761169,1437.33363587792,1345.59517657441,1283.92273341199,1407.26761973682
2025,1444.73701168008,1402.97050515298,1489.10411479238,1425.20703341239,1248.90000299801,1601.51406382676,1106.61728929146,820.242994294142,1392.99158428878,1423.40548348961,1330.01206586641,1516.79890111281,1394.80397929675,1302.7633742514,1486.8445843421
2026,1496.81744875786,1453.09814014928,1538.91122502985,1480.55856884486,1225.73313853854,1735.38399915119,1128.94628297591,841.96446045896,1415.92810549287,1469.60822523442,1344.80221994361,1594.41423052522,1442.72574954917,1318.7799315806,1566.67156751774
2027,1546.66345701357,1502.75618962256,1588.40808414319,1535.91010427734,1189.67667617889,1882.14353237579,1151.27527666037,863.665961499988,1438.88459182074,1515.81096697922,1359.49375483822,1672.12817912022,1474.53600909571,1309.02020948104,1640.05180871039
2028,1594.27310959171,1550.46992552743,1640.82237130022,1591.26163970982,1141.99711352243,2040.52616589721,1173.60427034482,885.347627800682,1461.86091288895,1562.01370872403,1373.45430986423,1750.57310758382,1509.54347293554,1301.75290563882,1717.33404023226
2029,1644.19652059731,1598.02804573137,1689.85209702985,1646.61317514229,1083.38266135695,2209.84368892764,1195.93326402927,907.00959267896,1484.85693537958,1608.21645046883,1386.42378130344,1830.00911963423,1543.95145078043,1293.21058367057,1794.6923178903
2030,1696.27695767505,1648.98325690361,1747.45203867946,1701.96471057477,1014.23249668688,2389.69692446266,1218.26225771372,928.651992263421,1507.87252316402,1654.41919221364,1398.28677473914,1910.55160968814,1573.3988005778,1277.50858001499,1869.2890211406
2031,1746.12296593076,1692.97456171598,1797.74576304571,1757.31624600725,934.777975591171,2579.85451642332,1240.59125139817,950.274965369,1530.90753742735,1700.62193395844,1408.99400433887,1992.24986357801,1601.48674006567,1259.57005973715,1943.40342039419
2032,1793.73261850891,1741.34927026627,1846.82767726074,1812.66778143972,845.140705693226,2780.19485718622,1262.92024508263,971.878653372299,1553.96183679295,1746.82467570325,1418.52936484354,2075.11998656296,1628.24367966062,1239.84787002147,2016.63948929977
2033,1843.65602951453,1788.9434184005,1898.58280324031,1868.0193168722,745.363590272829,2990.67504347158,1285.24923876708,993.463200086823,1577.03527744734,1793.02741744805,1426.89435208175,2159.16048281436,1652.69961530371,1217.24319389478,2088.15603671264
2034,1895.73646659226,1838.08764235891,1950.56647155048,1923.37085230468,635.428878762681,3211.31282584668,1307.57823245154,1015.02875163833,1600.12771326475,1839.23015919286,1434.1000548082,2244.36026357752,1675.53045262141,1192.71838186553,2158.3425233773
2035,1945.58247484797,1879.13499918888,2005.30491980761,1978.72238773716,515.269339782716,3442.1754356916,1329.90722613599,1036.57545634047,1623.23899593151,1885.43290093766,1440.16278990007,2330.70301197526,1696.95647213607,1166.69849033757,2227.21445393456
