"ds","Residuals"
1971,31.0432458166641
1972,25.7263125152183
1973,16.0103659392022
1974,7.05549236184548
1975,7.551246729155
1976,9.31464827402196
1977,1.43444996968122
1978,-1.17774483962032
1979,-11.4067689810936
1980,-13.2709123580971
1981,-13.1146226808929
1982,-19.1525681933664
1983,-21.5926233872339
1984,-11.7581829035374
1985,-14.0514020521692
1986,-14.4238342345958
1987,-14.8131224985984
1988,-5.44728919359235
1989,-1.16426693743347
1990,-1.17891747726986
1991,4.85203100495028
1992,7.74595805674238
1993,10.977540751789
1994,16.4875510096555
1995,21.0663181316448
1996,11.4574587311981
1997,14.2496348544077
1998,9.49466678909926
1999,2.78723924583903
2000,-6.28782226985436
2001,-19.1146917950528
2002,-17.6523215594805
2003,-10.9379310048121
2004,-0.66483767257705
2005,0.874377188361279
2006,-1.75349910629893
2007,-10.6286905789472
2008,-38.5745803205947
2009,-51.2954191178142
2010,-61.8535688969065
2011,-56.0460643486854
2012,-78.1391277229125
2013,67.6415150715076
2014,58.5610779937292
2015,61.7150697380337
2016,79.1054171598911
2017,76.1820061543008
2018,51.1015690765398
2019,33.2555608208261
2020,12.645908242687
2021,-84.2775027629164
2022,-42.3579398406609
2023,-16.2039480963638
